tractid10,cat
6001400100,Top Quintile
6001400200,Top Quintile
6001400300,Fourth Quintile
6001400400,Top Quintile
6001400500,Fourth Quintile
6001400600,Middle Quintile
6001400700,Bottom Quintile
6001400800,Second Quintile
6001400900,Fourth Quintile
6001401000,Second Quintile
6001401100,Second Quintile
6001401200,Fourth Quintile
6001401300,Bottom Quintile
6001401400,Bottom Quintile
6001401500,Bottom Quintile
6001401600,Second Quintile
6001401700,Fourth Quintile
6001401800,Bottom Quintile
6001402200,Second Quintile
6001402400,Bottom Quintile
6001402500,Second Quintile
6001402600,Bottom Quintile
6001402700,Second Quintile
6001402800,Bottom Quintile
6001402900,Bottom Quintile
6001403000,Bottom Quintile
6001403100,Bottom Quintile
6001403300,Fourth Quintile
6001403400,Middle Quintile
6001403501,Middle Quintile
6001403502,Middle Quintile
6001403600,Fourth Quintile
6001403701,Fourth Quintile
6001403702,Fourth Quintile
6001403800,Top Quintile
6001403900,Top Quintile
6001404000,Fourth Quintile
6001404101,Fourth Quintile
6001404102,Fourth Quintile
6001404200,Top Quintile
6001404300,Top Quintile
6001404400,Top Quintile
6001404501,Top Quintile
6001404502,Top Quintile
6001404600,Top Quintile
6001404700,Top Quintile
6001404800,Fourth Quintile
6001404900,Fourth Quintile
6001405000,Top Quintile
6001405100,Top Quintile
6001405200,Fourth Quintile
6001405301,Middle Quintile
6001405302,Middle Quintile
6001405401,Bottom Quintile
6001405402,Bottom Quintile
6001405500,Middle Quintile
6001405600,Middle Quintile
6001405700,Middle Quintile
6001405800,Second Quintile
6001405901,Second Quintile
6001405902,Second Quintile
6001406000,Bottom Quintile
6001406100,Middle Quintile
6001406201,Bottom Quintile
6001406202,Bottom Quintile
6001406300,Middle Quintile
6001406400,Middle Quintile
6001406500,Second Quintile
6001406601,Middle Quintile
6001406602,Middle Quintile
6001406700,Top Quintile
6001406800,Top Quintile
6001406900,Top Quintile
6001407000,Second Quintile
6001407101,Middle Quintile
6001407102,Middle Quintile
6001407200,Second Quintile
6001407300,Bottom Quintile
6001407400,Bottom Quintile
6001407500,Second Quintile
6001407600,Middle Quintile
6001407700,Fourth Quintile
6001407800,Fourth Quintile
6001407900,Top Quintile
6001408000,Top Quintile
6001408100,Top Quintile
6001408200,Fourth Quintile
6001408300,Fourth Quintile
6001408400,Middle Quintile
6001408500,Second Quintile
6001408600,Second Quintile
6001408700,Second Quintile
6001408800,Bottom Quintile
6001408900,Bottom Quintile
6001409000,Second Quintile
6001409100,Fourth Quintile
6001409200,Middle Quintile
6001409300,Second Quintile
6001409400,Middle Quintile
6001409500,Second Quintile
6001409600,Second Quintile
6001409700,Second Quintile
6001409800,Middle Quintile
6001409900,Top Quintile
6001410000,Top Quintile
6001410100,Fourth Quintile
6001410200,Middle Quintile
6001410300,Bottom Quintile
6001410400,Fourth Quintile
6001410500,Bottom Quintile
6001981900,Middle Quintile
6001982000,Bottom Quintile
6001983200,Top Quintile
